doc_id,item,category,amount,price,discount
19-2_20250828121026-25GG,Стиральный порошок для цветного белья,бытовая химия,3,1766.57,0.08
19-2_20250828121026-MSNY,Гель для душа увлажняющий,средства гигиены,4,2861.23,0.04
19-2_20250828121026-OZDH,Дезодорант-антиперспирант,средства гигиены,1,992.52,0.12
19-2_20250828121026-NKSO,Дезодорант-антиперспирант,средства гигиены,4,67.21,0.13
19-2_20250828121026-OVOC,Влажные салфетки для гигиены животных,товары для животных,2,987.38,0.12
19-2_20250828121026-KYEA,Миски устойчивые для корма и воды,товары для животных,1,1390.84,0.25
19-2_20250828121026-094B,Набор столовых приборов на 6 персон,посуда,3,413.58,0.12
19-2_20250828121026-G258,Молоко пастеризованное 2.5%,продукты питания,3,427.38,0.12
19-2_20250828121026-FNQR,Сковорода с антипригарным покрытием 26 см,посуда,5,294.1,0.2
19-2_20250828121026-JJ0V,Чистящий крем для сантехники,бытовая химия,2,331.74,0.14
19-2_20250828121026-NZGE,Шампунь для нормальных волос,средства гигиены,3,4772.75,0.01
19-2_20250828121026-D5IJ,Сковорода с антипригарным покрытием 26 см,посуда,2,2332.37,0.25
19-2_20250828121026-XSU7,Хлеб цельнозерновой,продукты питания,3,2630.15,0.01
19-2_20250828121026-ZPYU,Миски устойчивые для корма и воды,товары для животных,5,477.77,0.02
19-2_20250828121026-1CS2,Куриные яйца С1,продукты питания,2,2881.58,0.21
19-2_20250828121026-IMVX,Сковорода с антипригарным покрытием 26 см,посуда,1,780.63,0.26
19-2_20250828121026-07T1,Ватные диски косметические,средства гигиены,5,4823.41,0.29
19-2_20250828121026-6GME,Чистящий крем для сантехники,бытовая химия,2,3039.98,0.12
19-2_20250828121026-F5KP,Зубная паста отбеливающая,средства гигиены,4,3506.58,0.07
19-2_20250828121026-BEV5,Порошок для прочистки труб,бытовая химия,1,3007.82,0.05
19-2_20250828121026-TGAT,Куриные яйца С1,продукты питания,1,2551.88,0.23
19-2_20250828121026-ZJ8Y,Картофель очищенный,продукты питания,3,4352.78,0.25
19-2_20250828121026-F0PT,Миски устойчивые для корма и воды,товары для животных,4,4496.0,0.11
19-2_20250828121026-DYRV,Стиральный порошок для цветного белья,бытовая химия,1,1079.14,0.05
19-2_20250828121026-6KRM,Хлеб цельнозерновой,продукты питания,4,4081.39,0.12
19-2_20250828121026-YPYP,Ватные диски косметические,средства гигиены,2,1338.15,0.27
19-2_20250828121026-G2SH,Лоток с сеткой для кошек,товары для животных,3,3613.84,0.08
19-2_20250828121026-MUBA,Набор тарелок глубоких 6 шт,посуда,5,2844.76,0.2
19-2_20250828121026-4SG1,Сковорода с антипригарным покрытием 26 см,посуда,3,2929.77,0.18
19-2_20250828121026-YQWN,Чайный сервиз на 6 персон,посуда,4,611.8,0.07
19-2_20250828121026-LI5W,Чайный сервиз на 6 персон,посуда,2,2682.61,0.24
19-2_20250828121026-N0HH,Хлеб цельнозерновой,продукты питания,4,2977.0,0.29
19-2_20250828121026-0034,Стиральный порошок для цветного белья,бытовая химия,3,2307.19,0.29
19-2_20250828121026-389A,Чистящий крем для сантехники,бытовая химия,3,4102.02,0.1
19-2_20250828121026-3Q2Y,Средство для мытья посуды универсальное,бытовая химия,5,273.15,0.11
19-2_20250828121026-GB54,Дезодорант-антиперспирант,средства гигиены,5,1641.75,0.05
19-2_20250828121026-6OR1,Куриные яйца С1,продукты питания,3,2536.23,0.22
19-2_20250828121026-G5MD,Чистящий крем для сантехники,бытовая химия,2,945.3,0.07
19-2_20250828121026-KBIB,Бананы свежие,продукты питания,4,762.82,0.01
19-2_20250828121026-CMOJ,Куриные яйца С1,продукты питания,5,4474.91,0.27
19-2_20250828121026-0AZ3,Щетка-пуходерка для вычесывания,товары для животных,5,684.58,0.15
19-2_20250828121026-WOUI,Стиральный порошок для цветного белья,бытовая химия,4,3760.75,0.11
19-2_20250828121026-YEZE,Лоток с сеткой для кошек,товары для животных,4,3120.51,0.09
19-2_20250828121026-E52P,Зубная паста отбеливающая,средства гигиены,5,3223.96,0.3
19-2_20250828121026-54UA,Хлеб цельнозерновой,продукты питания,2,2361.22,0.15
19-2_20250828121026-5UV6,Лежанка для животных с бортиками,товары для животных,3,3804.47,0.19
